"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 25 11:30:51 UTC 2022","Thu Aug 25 11:31:33 UTC 2022","41926","","Login Functionality","","","","login with invalid password credentials read data from fixture",""
"failed","Thu Aug 25 11:27:20 UTC 2022","Thu Aug 25 11:28:22 UTC 2022","61845","","Login Functionality","","","","login with valid credentials",""
"passed","Thu Aug 25 11:29:52 UTC 2022","Thu Aug 25 11:30:51 UTC 2022","58236","","Login Functionality","","","","login with invalid email credentials read data from fixture",""
"passed","Thu Aug 25 11:28:22 UTC 2022","Thu Aug 25 11:29:52 UTC 2022","90308","","Login Functionality","","","","login with valid credentials read data from fixture",""
"passed","Thu Aug 25 11:31:33 UTC 2022","Thu Aug 25 11:32:07 UTC 2022","34339","","Login Functionality","","","","login with wrong email format credentials read data from fixture",""
"passed","Thu Aug 25 11:33:26 UTC 2022","Thu Aug 25 11:33:49 UTC 2022","22697","","My Account Functionality","","","","Sample Test",""
